64,0,0,1.523e-06,0.000658143
128,0,0,1.836e-06,3.2227e-05
256,0,0,2.763e-06,2.9138e-05
512,0,0,5.629e-06,3.4023e-05
1024,0,0,9.256e-06,3.9847e-05
2048,0,0,2.525e-05,5.7485e-05
4096,0,0,5.3294e-05,8.0213e-05
8192,0,0,0.000111206,0.000137997
16384,0,0,0.00021309,0.000242836
32768,0,0,0.000450882,0.000484186
65536,0,0,0.000868057,0.000900025
131072,0,0,0.001711001,0.001742732
262144,0,0,0.00324532,0.003277188
524288,0,0,0.006217934,0.00625274
1048576,0,0,0.009785119,0.009816386
2097152,0,0,0.014536428,0.014572148
4194304,0,0,0.018232909,0.018251691
8388608,0,0,0.035203822,0.035220963
16777216,0,0,0.069141002,0.069159949
33554432,0,0,0.136809871,0.136827073
67108864,0,0,0.272368966,0.272386566
134217728,0,0,0.543228133,0.543247276
64,1,0,8.569e-06,2.0415e-05
128,1,0,6.754e-06,2.2515e-05
256,1,0,6.82e-06,2.5899e-05
512,1,0,8.421e-06,3.5094e-05
1024,1,0,1.3037e-05,6.3292e-05
2048,1,0,2.1139e-05,0.000113247
4096,1,0,3.7551e-05,0.000210168
8192,1,0,8.3356e-05,0.000416246
16384,1,0,0.000145327,0.000854758
32768,1,0,0.000258024,0.001497299
65536,1,0,0.000653754,0.003220166
131072,1,0,0.001561476,0.006687366
262144,1,0,0.003118884,0.013163859
524288,1,0,0.00617375,0.025765031
1048576,1,0,0.011858491,0.049708667
2097152,1,0,0.023253471,0.098166852
4194304,1,0,0.046082239,0.194604721
8388608,1,0,0.091616055,0.386001333
16777216,1,0,0.182404584,0.769246316
33554432,1,0,0.364882653,1.535899144
67108864,1,0,0.730286511,3.065389627
